Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
08/27/2023,01:00,N,HB_HOUSTON,32.23
08/27/2023,02:00,N,HB_HOUSTON,27.79
08/27/2023,03:00,N,HB_HOUSTON,23.31
08/27/2023,04:00,N,HB_HOUSTON,22.08
08/27/2023,05:00,N,HB_HOUSTON,22.30
08/27/2023,06:00,N,HB_HOUSTON,22.26
08/27/2023,07:00,N,HB_HOUSTON,19.41
08/27/2023,08:00,N,HB_HOUSTON,18.12
08/27/2023,09:00,N,HB_HOUSTON,17.24
08/27/2023,10:00,N,HB_HOUSTON,19.21
08/27/2023,11:00,N,HB_HOUSTON,25.17
08/27/2023,12:00,N,HB_HOUSTON,32.87
08/27/2023,13:00,N,HB_HOUSTON,60.19
08/27/2023,14:00,N,HB_HOUSTON,186.47
08/27/2023,15:00,N,HB_HOUSTON,503.61
08/27/2023,16:00,N,HB_HOUSTON,"1,101.29"
08/27/2023,17:00,N,HB_HOUSTON,"2,023.02"
08/27/2023,18:00,N,HB_HOUSTON,"2,446.89"
08/27/2023,19:00,N,HB_HOUSTON,"2,500"
08/27/2023,20:00,N,HB_HOUSTON,"2,630.37"
08/27/2023,21:00,N,HB_HOUSTON,920.12
08/27/2023,22:00,N,HB_HOUSTON,103.91
08/27/2023,23:00,N,HB_HOUSTON,48.82
08/27/2023,24:00,N,HB_HOUSTON,31.96
