Date time,Home (kW),Powerwall (kW),Solar (kW),Grid (kW)
2023-08-27T00:00:00-05:00,4.8,0.0,0.0,4.8
2023-08-27T00:05:00-05:00,6.7,0.0,0.0,6.7
2023-08-27T00:10:00-05:00,5.0,0.0,0.0,5.0
2023-08-27T00:15:00-05:00,0.7,0.0,0.0,0.7
2023-08-27T00:20:00-05:00,0.6,0.0,0.0,0.6
2023-08-27T00:25:00-05:00,0.6,0.0,0.0,0.6
2023-08-27T00:30:00-05:00,0.7,0.0,0.0,0.6
2023-08-27T00:35:00-05:00,0.6,0.0,0.0,0.6
2023-08-27T00:40:00-05:00,0.6,0.0,0.0,0.6
2023-08-27T00:45:00-05:00,5.7,0.0,0.0,5.7
2023-08-27T00:50:00-05:00,5.2,0.0,0.0,5.2
2023-08-27T00:55:00-05:00,4.4,0.0,0.0,4.4
2023-08-27T01:00:00-05:00,4.9,0.0,0.0,4.9
2023-08-27T01:05:00-05:00,6.2,0.0,0.0,6.2
2023-08-27T01:10:00-05:00,4.4,0.0,0.0,4.3
2023-08-27T01:15:00-05:00,4.0,0.0,0.0,4.0
2023-08-27T01:20:00-05:00,4.0,0.0,0.0,4.0
2023-08-27T01:25:00-05:00,3.9,0.0,0.0,3.9
2023-08-27T01:30:00-05:00,3.9,0.0,0.0,3.9
2023-08-27T01:35:00-05:00,4.1,0.0,0.0,4.1
2023-08-27T01:40:00-05:00,4.2,0.0,0.0,4.2
2023-08-27T01:45:00-05:00,6.3,0.0,0.0,6.3
2023-08-27T01:50:00-05:00,5.9,0.0,0.0,5.9
2023-08-27T01:55:00-05:00,4.1,0.0,0.0,4.1
2023-08-27T02:00:00-05:00,0.9,0.0,0.0,0.9
2023-08-27T02:05:00-05:00,0.6,0.0,0.0,0.6
2023-08-27T02:10:00-05:00,0.6,0.0,0.0,0.6
2023-08-27T02:15:00-05:00,1.7,0.0,0.0,1.7
2023-08-27T02:20:00-05:00,4.9,0.0,0.0,4.9
2023-08-27T02:25:00-05:00,4.7,0.0,0.0,4.7
2023-08-27T02:30:00-05:00,4.0,0.0,0.0,4.0
2023-08-27T02:35:00-05:00,4.0,0.0,0.0,4.0
2023-08-27T02:40:00-05:00,4.0,0.0,0.0,4.0
2023-08-27T02:45:00-05:00,3.9,0.0,0.0,3.9
2023-08-27T02:50:00-05:00,3.9,0.0,0.0,3.9
2023-08-27T02:55:00-05:00,3.9,0.0,0.0,3.9
2023-08-27T03:00:00-05:00,1.5,0.0,0.0,1.5
2023-08-27T03:05:00-05:00,0.6,0.0,0.0,0.6
2023-08-27T03:10:00-05:00,1.6,0.0,0.0,1.6
2023-08-27T03:15:00-05:00,2.7,0.0,0.0,2.7
2023-08-27T03:20:00-05:00,1.2,0.0,0.0,1.2
