name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
77494,2023-08-27T00:00:00,82.8,89.8,74.8,76.91,0,0,,0,0,15,5.9,258,1012.1,0,9.9,0,0,0,30,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T01:00:00,81.3,88,76,83.84,0,0,,0,0,11.4,5.4,252,1011.7,0,9.9,0,0,0,30,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T02:00:00,80.7,86.7,75.9,85.49,0,0,,0,0,12.8,4.6,250,1011.3,2.6,9.9,0,0,0,15,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T03:00:00,79.9,79.9,75.6,86.83,0,0,,0,0,12.8,4.7,267,1010.9,0,9.9,0,0,0,15,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T04:00:00,79.5,79.5,76.4,90.42,0,0,,0,0,10.3,6.8,262,1010.7,0,9.9,0,0,0,15,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T05:00:00,79.2,79.2,77.2,93.34,0,0,,0,0,12.8,6.8,288,1010.6,4.9,9.9,0,0,0,15,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T06:00:00,79.1,79.1,76.3,90.92,0,0,,0,0,9.2,6.7,274,1011.3,6.8,9.7,0,0,0,8,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T07:00:00,78.5,78.5,76.3,92.97,0,0,,0,0,8.1,4.6,275,1011.5,7.3,9.7,7,0,0,8,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T08:00:00,79.4,79.4,76.5,90.92,0,0,,0,0,18.3,5.2,265,1011.7,0,9.7,51,0.2,1,15,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T09:00:00,83.2,91.8,76.3,79.64,0,0,,0,0,6.9,7.9,285,1012,0,9.9,116,0.4,1,8,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T10:00:00,89.1,98.6,74.4,61.97,0,0,,0,0,8.1,6.8,284,1011.9,0,9.9,464,1.7,5,8,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T11:00:00,94.6,101.7,70.7,46.21,0,0,,0,0,13.9,7.2,291,1011.7,0,9.9,510,1.8,5,30,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T12:00:00,99.4,105.8,68.6,36.98,0,0,,0,0,13.9,6.8,300,1011.1,0,9.9,534,1.9,5,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T13:00:00,102.6,107.3,65.7,30.4,0,0,,0,0,8.1,7.4,312,1010.3,0,9.9,531,1.9,5,10,Clear,clear-day,"KSGR,72254312977,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T14:00:00,104.9,108.2,63.2,26.07,0,0,,0,0,21.9,7.4,333,1009.3,0,9.9,531,1.9,5,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T15:00:00,106.6,109.7,62.5,24.23,0,0,,0,0,13.9,5.5,351,1008.4,2.5,9.9,522,1.9,5,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T16:00:00,106.7,109.3,61.5,23.29,0,0,,0,0,11.4,3.1,0,1007.2,7.3,9.9,471,1.7,5,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T17:00:00,107.5,109.3,60,21.57,0,0,,0,0,9.2,3.1,233,1005.7,0,9.9,429,1.5,4,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T18:00:00,106.5,108.9,61.3,23.29,0,0,,0,0,11.4,6,272,1005.5,8.4,9.9,304,1.1,3,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T19:00:00,103.9,105.8,61.3,25.14,0,0,,0,0,11.4,5.9,250,1005.7,8.1,9.9,91,0.3,1,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T20:00:00,94.1,99.2,68.4,43.28,0,0,,0,0,55.3,6.7,241,1006.4,69.8,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T21:00:00,84.7,89.8,70.9,63.33,0.049,100,rain,0,0,32.8,16.9,351,1009.1,94.8,7.8,0,0,0,5,"Rain, Overcast",rain,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T22:00:00,82.2,87.5,72.6,72.74,0.01,100,rain,0,0,31.9,12,6,1010,36.5,9.8,0,0,0,3,"Rain, Partially cloudy",rain,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2023-08-27T23:00:00,81.5,85.7,71.3,71.25,0,0,,0,0,24.2,8.6,6,1009.4,17.1,9.9,0,0,0,3,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
