name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
77494,2024-01-15T00:00:00,31.2,20.6,25,77.41,0,0,,0,0,21.4,14.9,350,1019.9,100,9.8,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T01:00:00,30.8,19.6,25.6,80.65,0,0,,0,0,32.2,16.3,352,1019.8,100,9.5,0,0,0,10,Overcast,cloudy,"72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T02:00:00,30.1,20.1,26.7,86.96,0,0,,0,0,22,12.7,351,1019.7,100,9.1,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T03:00:00,29.7,18.5,26.8,88.81,0,0,,0,0,22,15.3,8,1019.3,100,8.5,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T04:00:00,29.1,17.8,27.3,92.81,0,0,,0,0,16.1,15.2,360,1019.2,100,7.9,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T05:00:00,29.1,17.8,27.3,93.1,0,0,,0,0,23,15,352,1019.4,100,5.6,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T06:00:00,28.9,17,26.9,92.2,0,0,,0,0,23.8,16.7,353,1019.6,100,5.6,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T07:00:00,28.3,17,26.6,93.36,0,0,,0,0,31.1,14.5,357,1020.2,100,7.8,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T08:00:00,27.5,16.8,25.6,92.43,0,0,,0,0,22.8,12.6,344,1020.9,100,8.3,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T09:00:00,27.1,16.1,25.5,93.49,0,0,,0,0,25.2,13.4,354,1021.1,100,8.8,18,0.1,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T10:00:00,28,16.6,25,88.59,0,0,,0,0,16.1,14.6,351,1021.8,100,7.6,70,0.3,1,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T11:00:00,28.1,16.5,24.6,86.57,0.004,100,snow,0,0,24.8,15.2,352,1022.2,100,9.7,37,0.1,0,10,"Snow, Overcast",snow,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T12:00:00,27,15.3,23.7,87.07,0,0,,0,0,26.4,14.7,338,1021.4,100,8.9,60,0.2,1,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T13:00:00,26.6,15.5,24.3,91.16,0,0,,0,0,21.7,12.9,349,1020.6,100,5.9,93,0.3,1,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T14:00:00,26.9,15.4,24.4,90.3,0,0,,0,0,21,14.2,348,1020,98,4.4,76,0.3,1,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T15:00:00,26.4,15.5,24.5,92.39,0,0,,0,0,19.8,12.3,344,1019.5,91,5.6,65,0.2,1,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T16:00:00,26.8,15.7,24.3,90.12,0,0,,0,0,24.2,13.3,345,1020.1,100,8.6,26,0.1,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T17:00:00,26.3,15.5,24.3,91.98,0,0,,0,0,23.3,12.2,341,1020.5,100,9,9,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T18:00:00,25.8,13.9,23.2,89.7,0,0,,0,0,23.4,14.4,350,1021,100,7.8,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T19:00:00,25.2,12.9,22.4,88.72,0,0,,0,0,21,15,357,1021.9,100,9.7,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T20:00:00,25.9,14.2,23,88.73,0,0,,0,0,27.2,13.9,349,1022.9,100,9.9,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-15T21:00:00,25.8,13.6,21.9,84.93,0,0,,0,0,26.1,15,355,1023.8,100,9.6,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
