Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
01/15/2023,01:00,N,HB_HOUSTON,6.02
01/15/2023,02:00,N,HB_HOUSTON,4.69
01/15/2023,03:00,N,HB_HOUSTON,4.13
01/15/2023,04:00,N,HB_HOUSTON,4.79
01/15/2023,05:00,N,HB_HOUSTON,5.38
01/15/2023,06:00,N,HB_HOUSTON,7.03
01/15/2023,07:00,N,HB_HOUSTON,11.52
01/15/2023,08:00,N,HB_HOUSTON,15.15
01/15/2023,09:00,N,HB_HOUSTON,15.21
01/15/2023,10:00,N,HB_HOUSTON,10.80
01/15/2023,11:00,N,HB_HOUSTON,9.22
01/15/2023,12:00,N,HB_HOUSTON,8.44
01/15/2023,13:00,N,HB_HOUSTON,8.81
01/15/2023,14:00,N,HB_HOUSTON,9.28
01/15/2023,15:00,N,HB_HOUSTON,9.30
01/15/2023,16:00,N,HB_HOUSTON,9.80
01/15/2023,17:00,N,HB_HOUSTON,15.31
01/15/2023,18:00,N,HB_HOUSTON,26.61
01/15/2023,19:00,N,HB_HOUSTON,24.37
01/15/2023,20:00,N,HB_HOUSTON,19.98
01/15/2023,21:00,N,HB_HOUSTON,16
01/15/2023,22:00,N,HB_HOUSTON,13.67
01/15/2023,23:00,N,HB_HOUSTON,12.64
01/15/2023,24:00,N,HB_HOUSTON,6.14
