Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
08/24/2023,01:00,N,HB_HOUSTON,31.82
08/24/2023,02:00,N,HB_HOUSTON,28.06
08/24/2023,03:00,N,HB_HOUSTON,24.71
08/24/2023,04:00,N,HB_HOUSTON,24.07
08/24/2023,05:00,N,HB_HOUSTON,25.03
08/24/2023,06:00,N,HB_HOUSTON,27.22
08/24/2023,07:00,N,HB_HOUSTON,25.55
08/24/2023,08:00,N,HB_HOUSTON,26.42
08/24/2023,09:00,N,HB_HOUSTON,24.71
08/24/2023,10:00,N,HB_HOUSTON,27.08
08/24/2023,11:00,N,HB_HOUSTON,30.67
08/24/2023,12:00,N,HB_HOUSTON,45.86
08/24/2023,13:00,N,HB_HOUSTON,78.79
08/24/2023,14:00,N,HB_HOUSTON,227.20
08/24/2023,15:00,N,HB_HOUSTON,669.23
08/24/2023,16:00,N,HB_HOUSTON,"1,164.27"
08/24/2023,17:00,N,HB_HOUSTON,"2,426.11"
08/24/2023,18:00,N,HB_HOUSTON,"2,996.73"
08/24/2023,19:00,N,HB_HOUSTON,"3,264.19"
08/24/2023,20:00,N,HB_HOUSTON,"3,896.60"
08/24/2023,21:00,N,HB_HOUSTON,"3,533.63"
08/24/2023,22:00,N,HB_HOUSTON,443.52
08/24/2023,23:00,N,HB_HOUSTON,46.71
08/24/2023,24:00,N,HB_HOUSTON,34.24
